_id	vector_id	name	customer_name	from_location	to_location	distance	sketch_id	cin_id	creation_time
1	276	276	2->14	1159	1165	6147	1	cin19790102T052044284102444140493914752768	1467798797
2	276	276	2->14	1159	1165	6147	1	cin19710423T10285841250538140043228407552	1468800069
3	276	276	2->14	1159	1165	6147	1	cin19710731T05381449786694139987184080640	1471392012
4	276	276	Link_2->14	1159	1165	6147	1	cin19750418T221607167091367140490695489280	1472114074
5	277	277	14->2	1165	1159	6224	2	cin19810518T050124359010084140493656672000	1467798797
6	277	277	14->2	1165	1159	6224	2	cin19720410T11301771753417140042953541376	1468800069
7	277	277	14->2	1165	1159	6224	2	cin19720816T21362882848988139987226044160	1471392012
8	277	277	Link_14->2	1165	1159	6224	2	cin19760214T205051193179051140490192189184	1472114074
9	278	278	6->10	1161	1162	13052	4	cin19830824T083847430562327140493681850112	1467798797
10	278	278	6->10	1161	1162	13052	4	cin19721223T19132193986001140042978719488	1468800069
11	278	278	6->10	1161	1162	13052	4	cin19730703T102123110542883139987167295232	1471392012
12	278	278	Link_6->10	1161	1162	13052	4	cin19800929T112659339074819140490678703872	1472114170
13	279	279	10->6	1162	1161	13102	3	cin19851222T081108504087068140493673457408	1467798797
14	279	279	10->6	1162	1161	13102	3	cin19730904T165625116009785140043194836736	1468800069
15	279	279	10->6	1162	1161	13102	3	cin19740508T023758137212678139987175687936	1471392012
16	279	279	Link_10->6	1162	1161	13102	3	cin19810829T005642367894602140490712274688	1472114170
17	280	280	10->26	1162	1171	10588	5	cin19880514T133508579620108140493931538176	1467798797
18	280	280	10->26	1162	1171	10588	5	cin19740816T103744145881464140043203229440	1468800069
19	280	280	10->26	1162	1171	10588	5	cin19750302T113433162992073139987209258752	1471392012
20	280	280	Link_10->26	1162	1171	10588	5	cin19820608T220628392421988140490703881984	1472114170
21	282	282	11->25	1163	1170	9547	7	cin19900721T225553648600953140493914752768	1467798797
22	282	282	11->25	1163	1170	9547	7	cin19750427T161048167847048140043220014848	1468800069
23	282	282	11->25	1163	1170	9547	7	cin19760415T133427198423267139987158902528	1471392012
24	282	282	Link_11->25	1163	1170	9547	7	cin19830626T071249425459569140490687096576	1472114170
25	283	283	25->11	1170	1163	9658	8	cin19921010T033637718688197140493656672000	1467798797
26	283	283	25->11	1170	1163	9658	8	cin19751228T092853188990933140042945148672	1468800069
27	283	283	25->11	1170	1163	9658	8	cin19770130T141602223481762139987200866048	1471392012
28	283	283	Link_25->11	1170	1163	9658	8	cin19840328T023415449289255140490819352320	1472114170
29	284	284	13->22	1164	1168	8323	9	cin19950524T102351801311031140493681850112	1467798797
30	284	284	13->22	1164	1168	8323	9	cin19761114T025154216787914140042961934080	1468800069
31	284	284	13->22	1164	1168	8323	9	cin19771127T092917249470957139987192473344	1471392012
32	284	284	Link_13->22	1164	1168	8323	9	cin19841230T195902473284742140490695489280	1472114170
33	285	285	22->13	1168	1164	8222	10	cin19970801T171436870455676140493673457408	1467798797
34	285	285	22->13	1168	1164	8222	10	cin19770725T134638238686398140043211622144	1468800069
35	285	285	22->13	1168	1164	8222	10	cin19781211T095731282218251139987217651456	1471392012
36	285	285	Link_22->13	1168	1164	8222	10	cin19860114T001203506045523140490720667392	1472114170
37	288	288	15->26	1166	1171	271	13	cin19990329T053534922685734140493931538176	1467798797
38	288	288	15->26	1166	1171	271	13	cin19780404T050803260514483140042970326784	1468800069
