_id	vector_id	timestamp	speed	elapsed	level_of_service	cin_id	creation_time
2	282	2016-09-03T11:50:00Z	70.06965	491.0	green	cin19700101T191028069028140234941646592	1472903452
3	283	2016-09-04T18:23:00Z	74.88051	464.0	green	cin19700101T201952073192140234933253888	1473013471
4	296	2016-09-02T19:54:00Z	15.229953	1696.0	green	cin19700101T234857085737140541612369664	1472846131
12	280				green	cin19700103T230119255679139983543416576	1467976506
13	283	2016-09-03T13:08:00Z	27.989634	3551.0	green	cin19700104T014252265372140234950039296	1472908137
15	315	2016-09-04T17:43:00Z	71.24598	459.0	green	cin19700104T023647268607140234842961664	1473011074
23	288	2016-09-03T11:43:00Z	39.275364	25.0	green	cin19700105T090029378029140234933253888	1472903064
24	308	2016-09-03T07:38:00Z	52.27345	482.0	green	cin19700105T100254381774140234941646592	1472888392
28	285	2016-09-03T19:30:00Z	58.26614	508.0	green	cin19700106T063323455603140234924861184	1472931113
29	294	2016-09-02T13:46:00Z	8.212673	8443.0	yellow	cin19700106T082221462141140541645940480	1472824035
30	282	2016-09-02T19:43:00Z	36.208595	3072.0	green	cin19700106T100649468409140541637547776	1472845445
33	312	2016-09-03T10:40:00Z	68.53427	676.0	green	cin19700106T205907507547140234799036160	1472899317
34	347	2016-09-02T13:43:00Z			green	cin19700106T235509518109140541396252416	1472823935
35	284	2016-09-03T16:21:00Z	76.18875	394.0	green	cin19700107T010532522332140234817783552	1472919768
36	346				green	cin19700107T105542557742139982983395072	1468151679
37	290	2016-09-03T19:54:00Z	44.783863	27.0	green	cin19700107T115738561458140234924861184	1472932545
38	292	2016-09-04T09:16:00Z	20.561853	2267.0	green	cin19700107T131409566049140234842961664	1472980630
40	311	2016-09-03T21:18:00Z	65.06319	383.0	green	cin19700107T142558570358140234809390848	1472937589
41	313	2016-09-04T16:27:00Z	60.465767	830.0	green	cin19700107T211556594956140234834568960	1473006468
43	282	2016-09-02T03:53:00Z	79.928375	430.0	green	cin19700107T232008602408140541620762368	1472788513
48	310	2016-09-04T12:27:00Z	56.90873	1203.0	green	cin19700109T005238694358140234842961664	1472992141
50	316	2016-09-04T22:00:00Z			green	cin19700109T071234717154140234950039296	1473026547
53	283	2016-09-02T15:28:00Z	70.52976	495.0	green	cin19700110T060524799524140541645940480	1472830170
56	285	2016-09-04T11:35:00Z	69.501114	429.0	green	cin19700111T090023896423140234842961664	1472988998
57	312	2016-09-03T11:59:00Z	67.71361	676.0	green	cin19700111T142512915912140234950039296	1472904046
58	346	2016-09-03T05:14:00Z	9.656951	4762.0	yellow	cin19700111T183340930820140234933253888	1472879809
61	308	2016-09-03T07:43:00Z	40.933388	615.0	green	cin19700112T045822968302140234950039296	1472888681
62	280				green	cin19700112T055520971720139983593772800	1468170806
64	282	2016-09-04T16:58:00Z	71.43078	481.0	green	cin19700112T073934977974140234809390848	1473008388
66	293	2016-09-03T15:29:00Z	28.31995	5878.0	green	cin19700112T2310351033835140234799036160	1472916649
73	290	2016-09-03T09:39:00Z	46.261322	23.0	green	cin19700114T0421291138889140234950039296	1472895627
82	313				yellow	cin19700115T1026101247170139983543416576	1468148270
83	346	2016-09-02T22:55:00Z			yellow	cin19700115T1324361257876140541379467008	1472857004
86	347				green	cin19700115T2344571295097139983568594688	1468072971
88	313	2016-09-03T15:24:00Z	63.20649	722.0	green	cin19700116T0032181297938140234834568960	1472916363
89	315	2016-09-04T14:20:00Z	50.071003	2263.0	green	cin19700116T0632091319529140234941646592	1472998943
92	288	2016-09-02T18:34:00Z	46.75567	22.0	green	cin19700116T0914461329286140541612369664	1472841332
